protein,f1_0_f2_0_R_0,f1_0_f2_0_R_1,f1_0_f2_0_R_2,f1_0_f2_1_R_0,f1_0_f2_1_R_1,f1_0_f2_1_R_2,f1_0_f2_2_R_0,f1_0_f2_2_R_1,f1_0_f2_2_R_2,f1_1_f2_0_R_0,f1_1_f2_0_R_1,f1_1_f2_0_R_2,f1_1_f2_1_R_0,f1_1_f2_1_R_1,f1_1_f2_1_R_2,f1_1_f2_2_R_0,f1_1_f2_2_R_1,f1_1_f2_2_R_2
sll0188,520801.955952,429606.111237,650774.195245,207478.704313,238453.391863,287239.879212,247933.380532,167116.863323,226576.115952,268482.668741,456350.874364,651739.369785,65394.4579673,164434.361132,874456.391478,160479.52376,143219.566845,120049.408389
sll0199,49690711.2171,40894682.0271,9527370.65396,15574031.8329,11188166.7224,1677655.17587,11865397.9863,4034267.70663,16146024.5248,4341205.92763,1631933.46956,1254831.55447,12050173.6143,1505026.75559,9448860.71647,2530398.36715,23312578.3358,1923039.35429
sll0200;sll0431;sll0650;sll0699;sll1256;sll1397;sll1436;sll1983;sll1998;sll8043;slr0230;slr0352;slr0704;slr0856;slr1075;slr1357;slr1524;slr1715;slr1936;slr2112;slr7104;slr8045;ssr1175,1051684.09453,1869153.18101,754578.312186,587274.371851,440533.254131,592085.512602,246942.305056,304935.996446,346516.726339,532258.080902,874063.499701,582717.497647,1039787.61168,612432.00389,665987.347862,204686.12032,532121.333043,270341.825755
sll0207,271160.059113,423049.463194,282006.800305,787161.933647,835468.276001,713110.325018,497809.921392,283066.64151,423413.953309,454832.149524,678755.568181,554984.603764,538676.980437,578840.158335,651094.216308,659664.75476,1828737.63455,585754.102525
sll0208,4634413.50697,2741844.8868,1073380.33749,1600937.37207,1320118.58555,1771240.61181,854153.607626,245747.085878,751941.796239,3913101.10949,4663187.54041,3764506.89675,151255.539586,3628151.86729,3034171.08522,1183534.2199,1075793.05362,871179.965862
sll0209,833259.309647,1472853.84116,2105164.25946,575670.559935,355781.650378,700705.39765,431969.979659,192223.453691,591043.843416,195616.088332,326812.699714,215274.480891,716204.240475,704388.461068,717867.324039,592087.140177,480517.23386,580119.948269
sll0216,1739092.25277,1749629.9929,1367280.3141,572004.710668,557834.907967,664660.371868,561000.934712,161918.500226,712962.667735,823652.324259,1287722.77674,1207955.38761,857767.172931,733184.297605,772574.594133,790375.070265,738194.484317,808111.342536
sll0220,1862461.37274,1988191.82675,1375461.65687,2154525.99105,1394881.92246,2370024.06461,1020290.81993,2100605.59686,1299303.35595,1541789.80158,3268035.80042,2928720.31809,1426657.51564,1579795.6517,1622809.35565,1555575.94005,2158788.40127,1618453.97179
sll0224,31019765.4838,4531980.70595,3638466.62218,23602863.6342,17469784.1528,23540481.2744,20036991.9712,11051031.9053,20565137.3913,5548310.08807,5386578.33358,5066725.8959,15262275.4951,13627220.0511,13691127.1697,21077147.62,5863686.72197,20188475.5303
sll0227,4603136.53599,13322075.3703,1610185.62194,3517581.98059,3393000.79063,3373082.4489,4445528.76266,3555579.70946,3280293.31782,6033363.82658,3525703.11419,3201606.96567,1265321.19447,5014985.50672,5848526.39745,3282396.92233,3900850.73432,2902808.48249
sll0228,2065257.27372,2706263.67316,2134276.91221,1317676.2222,1117540.19591,798109.024163,68327.8327654,638460.486836,980944.79605,1522004.53929,1987920.15298,1772792.72924,1605046.77819,1202341.68165,227114.829741,792479.824536,207245.128479,914035.638517
sll0236,1326965.09843,1511454.99158,888614.469341,712615.317769,706885.785346,867118.575665,650593.325644,242325.085213,640777.162729,658385.895736,826450.484407,707539.114842,586358.14903,697919.858559,670332.231382,637468.590811,987879.516446,592250.423564
sll0237,133924.399308,781979.185784,439121.399801,122790.075451,262964.38165,150533.548766,241327.752253,258121.640207,295950.035683,226601.408359,335275.229613,297592.316916,230886.402459,314055.821824,385713.801884,217998.591095,549602.905407,104350.108521
sll0244,491039.788217,351209.567952,284828.738435,301895.98794,178471.038271,404727.500397,519225.284368,51262.4073624,524666.022872,198086.896047,288441.972818,140286.805629,409148.05049,454682.91678,433827.423862,388677.642445,870364.356052,437499.476832
sll0245,1252257.64737,199459.427551,617339.846697,989914.467022,476670.328181,1057534.91984,670453.959484,156836.353034,301877.986749,115605.627381,340997.321455,85648.1812401,453551.214884,693013.049115,440962.089758,310175.732279,480018.541823,226141.88804
sll0254,602412.066728,838305.101439,568559.314292,429894.143755,399810.772569,368498.492878,329373.62936,368680.647664,349281.186609,527516.219851,1128551.2411,895022.216471,766283.333391,256534.740527,691484.662771,512024.016631,434674.480396,489574.556601
sll0258,33835627.2276,80273686.3474,69305998.8589,671464.500639,30789038.2177,36883135.7858,55283706.8011,74176127.8795,1539494.45186,52829186.9743,43775260.5062,54637769.2325,43566650.532,30628857.1425,31657967.0893,60789744.1944,138305472.393,84574904.044
sll0260,62225.3099837,777422.449677,460529.385397,157130.418331,73071.969183,174215.796014,104018.585172,201106.776344,165486.940673,390895.555823,171315.523001,146290.476902,284223.128336,330317.976606,279956.813123,160870.014898,588598.343563,136000.928098
sll0271,4254071.36444,5982724.88799,4886591.01623,2587192.54187,2513769.29648,2612502.81384,2004784.65809,2108151.71093,1850570.22216,3271778.34501,568119.30013,3512781.32957,1470703.87064,1642826.55119,1719674.59587,1577493.14492,4263511.8401,1373737.64843
sll0272,12004425.2387,20123178.1172,15156925.9325,8327935.24271,10048838.0922,9149528.86858,7660999.50917,9418889.5578,8189817.02807,16308716.0477,18725536.4304,19708184.951,12315897.9753,11748073.0758,12993306.343,9711023.45786,2688461.39215,9659323.56322
sll0288,297353.260487,398318.520917,313929.458855,112072.452235,187751.784153,156424.865738,282586.266951,199304.213777,121220.987583,228630.128919,379235.27976,311502.409981,399320.149927,613013.683848,539576.459901,334206.070529,672238.896992,374537.390166
sll0289,8918247.90533,7770951.1334,7150132.9809,6946831.40511,7192390.10284,5418006.37856,3922987.17963,5087554.71058,2536500.59973,8798236.94971,11037221.4673,10751591.4596,7085336.87452,5155775.92874,5470799.33378,1603617.77348,5609313.28288,1500346.07401
sll0314,4490947.63057,7162523.38694,4692956.55077,3285992.58955,1773907.82193,2995136.78324,2860688.69319,1504930.82593,3173356.59667,4318304.42214,3843537.96019,4752792.19902,1999119.28787,2313711.2022,2152044.85523,3672183.44301,4169874.50962,3361533.96134
sll0318,3921623.47354,1113886.8033,873643.758393,2372315.63483,2317298.29515,2623038.54151,1768623.83061,1850686.51749,2327230.8081,2018897.91969,2255292.7033,1697167.88105,3252997.59737,3032233.30193,3309200.53076,2788796.11751,4413316.92239,2959652.01311
sll0320,1342346.93528,321229.614997,2207849.79919,1892194.3147,2347256.53283,1844230.42478,1874394.01024,1758403.14183,1043104.91274,3279859.14406,1078837.15234,1329783.83808,891731.002713,1203287.12095,1323236.10071,968426.490756,708995.072894,916279.411597
sll0329,19091947.2506,10904194.801,9902639.04885,15686314.9811,17566552.119,17097365.1359,10103888.9008,10360088.7537,11867688.2889,3281529.18263,4791973.65428,4394591.64315,8612634.20436,3828720.99047,10012812.0931,14191606.8303,835756.554712,14718837.351
sll0335,1562828.75874,2413419.37622,3003302.79512,1425768.00334,1836736.24855,1484625.93338,840461.445681,600102.099713,2098622.98427,396237.197936,3275599.08355,2447654.20285,1118473.77114,2067440.84133,604346.544661,641859.447815,2413927.10296,959365.718236
sll0336,574700.422251,1558703.80852,950763.438823,990540.945776,1084866.16934,1216396.54946,783795.174852,629997.921025,750009.321172,1774664.20481,2837271.39591,2616917.78916,1023730.68446,938727.936052,1254859.85422,685171.674998,741256.436657,691622.794777
sll0362,3099486.60122,5925373.69908,2772197.98347,1807639.96121,2023586.03533,2283983.41266,2077861.2241,2124347.6398,1302489.95467,2381065.31502,4499840.92655,3659914.27028,2997470.17895,1829613.87996,1527565.05806,2031034.68982,866898.312798,1890315.12448
sll0368,1480709.63481,1405308.19011,1331054.14304,529973.783876,208859.233873,448207.986015,663248.943267,252187.919185,349912.813453,528735.333163,52536.3983274,61461.4978586,383710.75348,161900.959641,151159.558385,226930.081585,871551.68935,116364.131548
sll0370,3941530.22354,4536451.2042,3316522.43166,1743660.79202,1771470.19689,1375222.97007,1466306.46258,1498578.6697,1500641.54388,952601.374313,565689.001347,1618409.92464,1280525.34362,1306181.30164,1588701.38865,1150785.19723,2047788.01905,865725.51428
sll0374,739851.149507,851471.2374,1612940.69258,2109292.78436,1702124.90844,2540803.22349,1043101.32015,1329305.21165,1833614.46782,971067.651588,2314782.62633,1271154.9183,2618216.26612,3374882.15817,4871252.26351,1485249.17316,4718645.73052,1744221.88231
sll0377,619252.137599,5047296.31175,4607816.60858,725673.061835,766740.872635,780095.07331,501588.03509,341066.947231,484659.165447,440321.113861,553764.434195,461693.191016,605250.990781,781977.349762,795366.67822,409619.227918,890884.967915,447024.506479
sll0381,3349732.44722,2770305.77357,2347956.15101,1465486.61041,1777111.46441,1994513.49592,1731842.04176,1460229.07908,2500462.81262,1970083.96587,2537131.57013,2232302.23455,1904475.4486,2870164.2669,2343872.95342,1816902.51808,3956130.50471,1522025.21008
sll0395,4396725.65092,6747012.62642,5501275.91239,2362891.07996,2413067.75987,2435909.42026,2604437.56524,1583077.34977,2927053.2139,2323517.89597,1473317.45412,1831153.9826,1533846.42486,1616028.35215,1706356.1938,2476974.74703,3776422.49789,2345279.04107
sll0400,361131.777998,265841.243113,292755.177309,203950.590081,203090.533437,217365.339556,260637.560895,30491.088663,256964.364194,164223.191912,125136.042217,48978.6069754,200321.38266,133561.730036,570920.047789,542411.927234,1736607.91972,241455.968669
sll0402,918927.58957,1314667.81264,1304605.5711,693258.333048,596917.764118,845800.036808,765233.021281,740572.220036,985891.865216,881051.629665,489088.728487,608177.86105,522885.09043,808411.643441,509761.816624,842677.742926,2827321.82716,511959.266856
sll0404,697705.58561,1476622.38987,204676.156109,102842.152181,416243.355374,148218.959584,341406.193162,531065.298488,119048.242853,319921.480165,96099.1545081,367023.047578,338066.690954,111110.104256,369230.14006,243166.659763,343565.266737,508539.32285
sll0408,29570722.8634,42413052.1072,29610841.2046,16400114.1084,16873569.3381,17613239.2128,20994618.9288,14387237.7441,24174259.1053,40139153.5313,22545934.6435,15768599.4629,14938099.8508,13876135.5931,14202980.0385,17245020.421,13673941.8471,19619102.3226
sll0410,1762627.88503,1506170.93062,1184633.3526,5878177.34283,4971491.70653,564405.843062,2934832.36646,2283747.13597,4519456.21211,421358.983933,8222655.06125,435284.06549,7410638.05188,6360945.70217,4773573.12279,4358545.95644,7515338.09884,4670486.80282
sll0416,26766318.4531,11590143.8912,7601168.74091,28127746.0099,55601116.6021,55040938.6558,30391556.8984,36299224.8293,41219972.0764,54375223.8045,6651440.40025,53681546.7023,88785383.9435,70686617.6427,78962044.0521,52577707.6188,11129225.1642,44809524.2297
sll0421,6805897.92594,5363743.47498,2972293.65998,1579156.66224,2240649.42984,4210701.36067,1817147.04499,3908707.77305,2507497.48435,4465651.11886,4472933.67285,4197391.00208,2825717.30889,3862239.8615,4207181.8677,2839840.9618,1451225.30396,2990509.93924
sll0422,4068169.09133,5813510.64722,4294385.28552,3390470.72606,3173484.62607,3501572.18855,2371794.59129,2108268.88519,3193323.40563,5215009.70448,4653686.7596,5067483.42757,5387530.46776,3421907.15651,3509392.98252,1666515.0462,3904626.44236,3278440.34116
sll0427,2267443.59935,1570507.63566,1657287.5002,4993489.81976,5474587.0957,7087526.40717,11880318.5739,2702734.61839,7216623.09996,1591907.33604,968929.616535,1002498.88573,3275059.69605,3901699.94439,4272918.31056,3584554.47582,3406179.33148,5015885.10694
sll0430,630584.657529,561873.653068,1787203.46576,4300875.71008,3873292.94034,4877118.64356,1233210.70322,798019.612594,1489536.13846,3662035.934,4962806.36887,3906791.88106,7088001.55472,3709115.8634,5202446.79654,2420445.1299,3921420.26554,2213784.98491
sll0441,664581.72241,542920.799554,408768.677044,495105.779062,455678.162003,566745.523738,304126.821292,180334.56773,362378.651088,297097.427814,418180.795754,340150.040028,1058674.19938,549045.055624,567732.187488,586269.042204,656313.530224,436961.643406
sll0443,512282.755386,643897.152734,716024.86855,78440.6132851,87881.0914709,78369.9131696,240252.695229,260194.172772,121822.444786,294441.955082,320169.837085,238385.4918,277647.332346,231439.983423,251683.791408,63356.3128651,187791.198898,182430.568606
sll0459,1268118.68732,1968573.81265,2086724.37251,791404.45219,743953.888883,1842426.67515,1041752.11886,1197354.49136,1151846.74734,860664.292341,574747.320551,992325.85639,830614.044037,1086658.1977,1404852.56371,783936.212044,3240152.67631,967893.226612
sll0461,805531.771207,2339050.68696,1435430.63441,619946.825403,795556.969415,647258.960337,539925.356252,1462826.09633,609765.334114,655906.078071,932622.555915,716652.021156,1638232.07955,439439.898814,758440.960533,1111001.95977,1051226.32717,909293.522896
sll0467,516173.032715,691212.583758,797506.896959,202556.162269,280903.085061,313007.986772,216497.408889,256525.009375,252029.710817,594471.728086,474867.987012,485864.988817,410914.436846,159165.874301,103819.74476,288628.476493,610557.149299,275182.405361
sll0469,3611705.96469,3410739.47096,4200879.09206,3446029.41104,3497146.90451,4329137.86741,1367699.82718,3150580.56643,2662657.07328,4229754.67445,8099703.66852,6624542.38627,5914995.84087,5242515.43519,6623971.11066,3054184.42098,5909771.38248,3032172.48905
sll0480,11980096.7535,14253400.2366,10159349.3297,10152728.4256,7454893.07494,11243729.5445,9410762.13787,6164244.26685,12233953.6621,7622394.13856,8077140.19443,8459205.87081,12508856.4578,11112732.0722,15002990.8981,10880521.8732,13884951.4904,12293116.5375
sll0485,388336.685441,717919.445356,671434.469687,436641.47521,487341.567639,487757.489773,350747.548341,1077402.74877,407267.687153,170755.229465,701405.322944,299713.708394,285977.698199,599343.807615,411175.108449,367688.484261,415407.032202,503665.165788
sll0486,762673.278144,905909.708099,794926.547803,253917.688527,230899.033452,182211.367235,213208.027708,163757.880751,317466.793147,333152.140621,396659.218748,415150.751187,414502.349542,285739.881422,254608.930512,199737.268299,3587193.11805,313818.778122
sll0487,3024251.04191,1343390.08683,1339240.46256,1318479.37321,1133596.03391,1260207.16325,783543.630094,721141.778518,738863.579647,954554.611009,2305628.21477,2668125.18034,1059886.53052,1321739.51019,1342037.41832,854869.11683,4687442.41441,946887.028169
sll0495,687237.471893,624772.865732,218210.802482,963449.516048,566079.894855,732025.29877,570854.453681,186824.126003,639304.713823,101191.646395,130419.86901,633378.057826,311889.751854,1053110.92764,224048.788053,360428.959903,1190757.20852,517730.77809
sll0497,374243.738496,935934.069537,1119160.74803,175683.478908,180123.543232,186014.878251,362844.482144,361356.63535,172956.391541,310934.148714,425802.513782,230866.690149,309130.286739,122725.759158,222320.516687,571415.645111,1259882.16998,105127.735321
sll0501,428347.773703,599475.084912,399696.846645,395719.208945,423044.505081,310804.447075,384626.651422,301570.214886,480292.331507,283227.393784,473722.089473,357402.454612,629506.109729,566444.047136,643449.87126,505096.844687,1019407.761,569706.969784
sll0502,1189535.62477,2012597.08547,1689591.80345,782998.462562,893984.159213,1316421.42509,383058.438833,661926.254973,134624.710581,714674.577692,1564429.69311,1223804.34763,1076140.04098,1514696.82461,1715805.10902,594232.419602,435843.273505,1195924.33053
sll0504,2740764.72437,1344945.19943,967191.343649,2545281.90489,1865828.16228,4124354.55377,1130905.12003,309613.664382,1254028.85656,3608879.66115,3665043.25901,2170061.37403,4058830.47032,6181637.67737,3215149.20927,1861576.07523,1675095.07583,1412392.7476
sll0513,1004950.40695,1795029.84479,1687678.44947,1555177.10771,1464261.41428,1650566.97854,899299.467629,651667.369069,964556.49874,2860580.39141,1964999.21275,2021244.21129,2269527.76261,2446348.43854,1998946.09768,1583550.54406,1631885.38839,1471058.14637
sll0518,1478511.4801,2477023.79891,2349284.58104,1815216.38504,1923511.60144,2106101.76532,1896822.38102,2243257.98834,1658039.36652,1493047.04958,1145036.27649,1148401.04055,1706960.46755,1843312.87066,1879427.52514,1422146.50246,3967153.18753,1192821.36866
sll0519,3005649.09217,1805771.34669,1458092.80637,4352610.58689,4202147.0187,5026997.25993,3965716.59985,4262052.99608,4751896.9025,1379170.35989,2896329.58428,1981623.2826,6340951.04958,3725934.06661,6097393.47496,4398011.17685,3757614.02405,4444024.64112
sll0520,440368.941206,729268.573415,234979.918965,917388.477168,998287.885177,873236.685991,627060.51755,1292626.88357,1090611.44234,1186501.5237,2546226.16732,1725525.7768,1610420.58233,3146411.07555,2913510.56102,1813916.26206,3619076.63162,2608062.11427
