protein,f1_0_f2_0_R_0,f1_0_f2_0_R_1,f1_0_f2_0_R_2,f1_0_f2_1_R_0,f1_0_f2_1_R_1,f1_0_f2_1_R_2,f1_0_f2_2_R_0,f1_0_f2_2_R_1,f1_0_f2_2_R_2,f1_1_f2_0_R_0,f1_1_f2_0_R_1,f1_1_f2_0_R_2,f1_1_f2_1_R_0,f1_1_f2_1_R_1,f1_1_f2_1_R_2,f1_1_f2_2_R_0,f1_1_f2_2_R_1,f1_1_f2_2_R_2
sll1172,3289502.2763,3893784.46484,2870043.55199,5975882.21866,5805599.53018,5657080.95825,3839759.19969,4463974.15341,2970643.50785,11375714.8686,10321425.9534,12621755.2361,4401646.56146,7587460.62368,5423020.82606,3338329.61039,7169877.56332,3349186.98718
sll1173,468491.634549,493821.778855,359682.137506,179796.399818,196898.957058,337489.989199,119945.489398,565367.213895,397785.584777,247584.245044,471981.207951,317326.661643,351592.35921,367725.626872,391703.048035,413495.041498,1122552.37005,271024.321174
sll1174,619142.506141,339838.575863,925871.118886,219148.946158,271983.202477,186114.100039,256632.272172,483851.177348,369206.261765,725831.81352,960368.040539,765523.207916,112923.184231,546939.717326,190742.95816,522369.967693,547140.979107,366175.68486
sll1178,1137364.93273,1826435.43619,919004.118042,1449737.3196,1042162.86456,1668668.08318,693096.281947,1266010.93217,1268005.19596,1285126.28748,1942690.85813,1836815.71629,1954320.90204,2622751.57343,1445855.31047,964676.385985,3969378.41514,1083065.29394
sll1180,8361160.67312,6957743.91184,6016492.52528,6737654.31101,6421643.98767,5656548.18138,1384886.08323,1562659.92724,1856725.26027,8492635.8378,14916762.4835,11210941.1504,12594262.6162,9295644.29502,11246549.359,2594862.71076,5168520.76333,2003300.14426
sll1181,675791.784513,457961.229203,433492.304689,429781.410334,377671.863789,512229.017003,224097.265225,153385.605127,329170.486642,715319.941748,572469.789258,516293.1193,1157371.53832,948259.157301,630790.080078,278754.812355,468508.981539,310895.755166
sll1184,254345.756357,297513.563037,383082.38412,245717.155524,289008.511383,194535.51617,147811.602604,337572.98808,148571.384298,780147.216674,790197.857788,806381.712605,388133.583233,294283.773332,408087.606318,451009.878891,992781.294891,340092.938727
sll1185,3930303.63352,2128617.21856,3191060.05367,19540870.925,19008921.0658,22051558.7528,6504157.27717,8216832.3527,5680156.97734,14272509.524,17855281.8697,15953774.9585,15112720.0397,8791930.60619,14384639.2797,8178401.36763,7475922.53285,5959136.57027
sll1188,645490.061918,1233019.76227,578218.103024,1626210.53346,2606627.6064,1875999.62101,1108281.51499,1539086.14259,2540884.8885,394716.930091,1161883.40735,922454.636842,1694070.73334,1700466.52036,647646.888492,1389667.25603,3376717.28839,1373815.65109
sll1194,34903764.2086,234255740.91,242600022.259,67352344.9568,73086064.5049,82214945.417,222212297.782,206739875.296,192970311.057,168933905.552,106738482.701,133123280.977,78366382.7467,64350864.5446,65862921.4008,148052396.177,91717094.2951,171569186.347
sll1196,651520.159688,752377.947138,230377.909978,277341.969095,170364.380087,182975.681198,304642.24778,943569.96546,58817.9762061,184570.843988,105653.100414,685604.062318,157343.651139,1136743.86297,79614.9231837,347738.732651,2362833.08707,747336.943568
sll1212,4876274.55191,6272200.50942,4932327.68409,2955513.09158,1729927.72872,2970517.26862,2510726.43941,2849775.10982,2965113.41496,3781049.93463,4881158.41802,4597786.1255,4147651.78097,4014165.85429,4729333.22921,4017310.02141,3317744.43061,5655990.5758
sll1213,1628979.37874,2243817.00496,2002397.90695,879860.153349,761582.05222,878292.90603,1668275.53278,422490.808791,835783.697411,1302691.5838,189595.935914,412010.187642,572681.93527,464692.90903,439007.149597,312891.828405,3028738.52608,517142.416362
sll1214,6094432.42138,7267176.89507,6465619.64993,2008120.20514,2295065.99487,2666508.52516,1251499.16536,2538395.10451,1619904.8448,5119429.31984,7822194.43198,6392161.40385,4844113.88475,4737193.84588,5460772.93018,2820739.24205,3287447.15114,2769802.03811
sll1221,529291.128265,2135488.48867,1696395.42278,354144.666451,509513.351571,428561.764535,503310.946653,798817.369589,736752.003015,537267.143919,846793.473258,562012.580485,2018415.43171,384537.926105,2625613.02406,748390.130222,3001781.68185,648392.132406
sll1226,118142.573714,410849.468615,508362.534235,1073759.1408,1079682.34997,1356713.58073,783360.700045,98042.0166864,1107041.31825,315605.468862,557133.737569,346199.887679,1208885.56557,1023000.63243,344228.916341,389014.305095,436248.188001,401535.418332
sll1233,509648.637854,373888.453293,221066.030072,182175.895324,402964.366197,193282.428371,177100.477193,405004.394645,175725.846387,155122.327774,129617.08884,219924.879106,227831.880889,199427.672488,200131.112569,264174.863012,392601.967287,339793.820674
sll1234,822436.731237,424361.283048,384414.771131,363706.964218,233467.026308,490397.652237,104629.678628,53265.0295073,358488.279393,556943.767672,596244.670941,523184.139745,11722214.5071,330035.808205,213004.126158,6216662.12897,648296.004574,143635.360768
sll1244,27625956.7357,35886924.1321,28771626.0183,41924676.1716,37370682.9849,50784991.2852,31625646.0234,27260926.1169,37186233.4611,12870439.0079,47085812.2777,51253786.9041,81535407.6335,62052291.3535,54108672.4954,44135182.0696,78351672.2203,36324902.165
sll1252,660937.735113,966172.023417,660843.275931,432716.051841,436708.816039,249964.42337,620614.83126,693273.22767,829213.0773,573469.123979,536548.070864,486253.696057,548287.530661,408325.478068,441722.770626,864237.989292,456630.006138,638582.149262
sll1258,1165914.33564,2437132.9925,2008161.2807,1151551.50592,1378346.81167,1008334.87416,810393.130405,1300421.23712,1067507.89472,2999967.37387,889149.427004,2851921.80302,2104140.55416,1795809.74911,1837065.17586,1630101.10564,1985839.62734,1186524.61113
sll1260,2817210.10199,762938.806787,726775.835012,2192274.93735,2477681.10174,9210740.05055,490508.809887,1284376.20506,1157749.35898,2064854.67288,778924.873105,3082378.87516,4394917.33698,5879470.92299,5040018.06547,10799663.8302,4291589.92388,2094672.40802
sll1261,1525388.90307,2691359.17467,2124542.71912,14553633.1494,14302674.067,15361694.2101,179567.699012,6551564.88667,8144519.50582,14329231.2216,11573791.9385,13734567.8691,21922801.2793,19168015.8464,21500243.9024,8759868.73837,75847.6259158,8632862.2002
sll1270,777575.002138,414583.142178,1360619.32078,717124.205518,788456.701006,1037413.26182,903080.995799,734161.144468,206511.480193,312622.820087,524712.087589,380300.730822,950961.982603,88846.4226517,724284.022052,165421.126183,1073486.74885,564788.730757
sll1272,4592929.00486,4384268.71686,3618902.73401,3610235.38092,2716067.76457,4525216.78616,3401242.44243,3518386.43609,4877844.54316,2966468.70384,2556124.60381,2025549.09277,5795512.37152,7313127.64798,7490733.71109,3759015.19326,8833532.18351,2219795.60908
sll1274,1404593.77527,368724.916892,2043715.79168,956879.385089,108944.697236,689438.789565,202932.128102,1166822.05354,1025565.49582,1270955.91524,86769.6572271,1832710.99599,153869.037826,916355.950382,1293952.53549,471185.09233,1125350.94263,1083905.29692
sll1275,6934046.37515,8912812.11348,8652888.95274,3682940.46573,5369705.31767,4267442.33533,2235525.4937,3594280.03796,3492163.47648,6075087.44333,6113664.35364,5391149.80986,5307912.38733,4358148.57134,5660828.30397,3598488.81494,2509883.9163,3717877.90772
sll1283,84381.2233428,948273.509057,1117885.4607,1272641.00818,1124601.98834,1340461.66704,246831.425337,360914.223367,367021.858336,2417256.69528,51825.0868812,2373449.18249,891935.848349,1185293.80507,922304.598696,856709.051297,1352072.94945,351355.714071
sll1289,1011621.47198,353828.30482,330936.766908,875372.246235,616150.188031,846203.477961,705715.749892,276428.603906,562601.698757,266955.097952,330409.034196,231806.549554,929617.760244,823663.347593,797419.483676,777887.864884,432989.095582,519545.247306
sll1292,10876641.2178,12736367.6923,12408252.6458,4582728.60682,4247677.68728,4095770.66446,3209181.56023,2450527.68052,3684101.20818,6276569.58635,4781271.88263,4347462.07075,2911905.39028,7454627.52671,7730514.37533,3626376.68279,6526040.45807,3551519.16863
sll1294,160662.628745,112036.36491,146707.266831,377110.366056,392387.924995,187177.26143,230911.307942,316187.96794,305523.886247,309508.995305,562457.758183,402740.050251,658213.924679,525338.67598,353792.289202,307314.264659,440695.178287,150976.156473
sll1298,7154416.76836,5967897.83143,9091201.71554,1343841.97252,1677036.74526,1579101.44553,1280774.34631,3461977.28526,3303065.35672,2735921.1607,2433469.18077,3079103.82024,2555283.95791,1942988.85247,2493766.80858,2995462.46618,4390088.59617,3130596.29497
sll1304,1350456.98827,984124.328851,1224566.75559,1411995.7176,1452496.39786,847746.662383,708337.70534,655052.500439,633690.557407,871729.689648,2882088.2874,1803294.73642,845320.132927,799300.137432,804115.638155,785736.74741,2065754.22792,702441.621132
sll1306,1247146.53109,474880.811969,1035145.15115,4969169.95718,4411410.12874,5883018.88162,4756270.3146,3016292.17645,1947834.2294,6191183.30115,768643.339008,2343753.08745,3595279.10512,2975929.60167,2698570.79681,1634343.82505,5151268.1209,1391305.03001
sll1308,389192.825134,729697.239161,975778.535525,518805.733532,481312.457742,710545.084966,371246.849516,182448.344463,307445.77491,371437.812862,657972.252607,493987.152722,444966.390863,430146.570986,496555.414714,495024.479601,466277.988664,272178.248636
sll1314,17534807.5401,16610736.5289,16831749.5377,17533817.0248,13210904.8941,1448492.33554,29687349.7755,2258556.54106,1810369.86615,10440927.7071,6326486.1556,11625353.547,1073037.57747,8077644.52067,2930201.01616,5178802.03234,21734067.4868,8839146.3512
sll1316,21003722.1327,2950038.05361,1418708.85191,904826.852085,903145.363924,206329.86971,2177297.84526,405350.025544,1893713.4334,1945410.59386,1051837.11131,1397847.55328,79528.3445678,1065648.15416,1125207.34235,72718.8508324,2001103.15973,395960.106854
sll1317,10736124.6599,4973232.52246,6298480.36985,820660.470095,3384567.12298,6016645.85889,11622971.193,10048969.8699,10094160.6216,2871315.25279,1643368.20526,2319687.12689,5043914.83119,609050.699881,412484.902105,284971.091363,733308.314972,344038.419939
sll1323,24168955.2288,18636452.826,16210384.2904,9618517.41723,9111464.15462,10666402.7561,8260066.67477,233934.331747,12474830.3109,13167662.4129,22653665.0899,16955617.5804,25419346.7682,26824058.5303,3360082.97089,2055979.61488,267510.795132,10766218.7967
sll1324,665005.569866,164639.773532,407524.090592,169338.196127,181973.891269,415100.607441,94857.9499548,370253.159315,108147.880166,381921.957398,452004.046602,721444.651517,8747083.45657,483456.888358,464340.397532,6592725.04909,508673.725532,251394.437685
sll1325,240260.435828,1515243.89805,1288496.18182,2243976.90573,2384946.93007,181609.987747,393720.507636,9248324.06033,1227314.08162,1020450.2574,1156323.27059,458965.427635,109659.108246,4511136.54656,4361115.19631,6502440.09043,11190691.2136,5787607.32846
sll1326,493928.709663,25571504.061,3830999.26448,618817.936888,483214.587433,273129.885582,481977.633061,636950.535697,560811.5361,555482.038493,119974.577658,52979.9146296,284449.171578,936507.079245,2102500.93593,242581.188541,1083022.48097,248044.557393
sll1327,251797.66706,215673.16086,381889.620639,427728.927133,434278.773901,623818.033494,266504.630752,136618.630076,91621.5901367,225099.182758,187964.638404,151670.335979,469143.63954,282575.705128,550067.004147,121401.757836,282390.964585,118434.588738
sll1334,3641224.6199,1372823.62322,766772.097025,6164365.26247,4201610.21006,706587.732657,2683296.8493,2824279.78852,3462082.49563,512856.180139,197647.353324,439955.425832,11025243.892,8100357.82035,9386674.88601,2649510.01568,2608560.55899,3034223.79851
sll1336,5741360.06012,5439116.51847,5116941.1575,2944954.16004,2821819.54575,3303559.15839,1536456.42677,1355280.15865,1921517.68757,3350293.03344,3183433.13683,2452630.07462,4042638.35801,4160314.79946,3987803.64088,1632710.73022,3732436.79314,1664844.25336
sll1341,3276619.35818,2584100.39464,2391098.41123,684858.098675,944816.513779,615630.238691,2307644.12139,359555.398048,909311.83192,570518.95298,95229.8023609,175370.259512,225824.979776,220612.220773,119428.139347,250503.449865,710239.675755,217593.514609
sll1342,966080.354819,908278.34638,527331.398881,34304623.2687,32799936.1075,175649.049116,30099500.3062,26803336.633,29025774.8513,74829.5969431,1441654.79648,83176.442504,5591247.50828,20570475.3697,21142628.4762,7127485.76171,61633819.6072,28155229.3647
sll1343,608399.025686,813822.326292,740732.347007,862648.533076,822074.332316,1113463.25343,629691.683699,320284.221314,544826.008328,525213.870669,862348.475953,611265.059872,843263.570201,937674.411418,923218.882677,707460.582176,1207150.37085,530121.175926
sll1356,2125742.01151,3587792.94858,2635390.06965,1199745.9571,1369741.9828,1478925.94048,804092.931655,577441.650864,905483.078047,930575.257882,1111356.80958,968924.300647,650663.995631,678911.424483,668131.304457,640514.484727,665703.344581,821022.710466
sll1363,1337109.77314,371334.504894,1409028.90809,1938087.66621,2050716.55229,4017964.88608,2244740.16863,1696375.74868,2300806.27841,1659736.84733,2934076.70635,2364244.87082,3320532.5387,2953588.73894,3322782.2468,2492936.64208,3756583.93851,2515733.69777
sll1367,1009695.53614,1072594.56358,3050630.01352,1226750.4347,1050337.45009,1252777.55286,982484.485477,845222.270522,1236309.25832,1069381.60538,188199.085792,1776129.95452,104451.629515,729564.652927,1015236.5284,1132472.41581,1474180.98402,1162205.3111
sll1370,2763438.62119,1727429.468,3388420.97489,1514613.06162,1325035.29807,2154469.05064,1519342.33977,1140698.36126,781448.684583,2736466.5793,3277972.51523,3281830.20259,1350271.8173,1714877.90888,927144.813031,2399753.03096,4136723.1435,791522.491923
sll1371,1178098.50029,2905211.46826,1690825.88522,985550.518136,1199789.00792,995214.373582,546616.816594,1538681.51508,976138.21888,1216918.44829,2392630.35319,2374911.14995,1615418.40848,1567466.46235,1724330.64485,1032456.74192,220133.664464,1006783.81785
sll1380,2597222.48852,3152511.13149,2657735.72619,1475041.22544,1187778.8277,720880.940168,1862814.73116,2229654.48994,2256224.28077,3627546.57173,2819115.97952,3565471.22993,1511973.54949,1226039.93338,2122262.15812,1981246.16616,3352751.29772,1532716.87296
sll1382,637713.057637,1391113.06213,1451881.66011,111567.371082,228933.658632,349600.413589,174831.21024,300930.677687,2353235.74622,973503.921424,123874.410521,161632.826121,182090.45854,970527.677874,601718.693629,120736.823208,13944023.5826,1337277.22046
sll1384,505268.151084,301281.280876,167439.564802,1558905.05165,1379422.4846,1696462.87624,1006532.01628,181460.26121,1126416.15269,94869.6552523,134631.058653,161939.245503,1462851.08003,1144662.99519,1202016.31298,1649053.90168,1923018.54947,1178391.29224
sll1388,165571.493262,792945.698584,741965.182243,119107.487978,370200.037276,222191.747509,187722.378367,702336.737246,218363.025213,208603.139673,143308.735527,148560.930382,159559.345193,187751.863732,189381.7666,648024.241722,800473.897891,397443.898344
sll1390,329165.592338,535984.448219,324559.226427,974136.595484,741030.35804,1102605.5147,603118.988055,519005.117241,1379076.09322,242940.481335,336936.19961,250466.246091,753602.478896,804035.545003,898545.081139,1062933.88029,511313.438271,1173718.75256
sll1393,451333.50156,654583.968089,693130.365559,2737002.98621,2322928.4298,3192585.9016,2103013.9366,2502631.88835,2267288.56518,976421.190363,1556422.12621,1244694.95655,2610501.25648,2456694.01,2200052.60192,2230485.61807,869289.691002,2257390.99227
sll1394,6351094.99483,8078360.13136,6908290.87755,4007669.93808,3632138.99258,3295971.64826,2263131.52454,1638020.78811,2359978.1424,9758195.51708,11366496.9386,11570580.3292,5324579.43985,11675417.1881,6402454.8179,3347748.1612,3571266.65578,3143950.97529
sll1396,1206712.64864,506491.577551,287756.583637,10556228.5223,9234399.19501,12563634.9542,3975629.99074,1570112.75171,2174306.852,687137.779711,3383462.50945,1432468.10837,13290944.996,4845400.00529,2396631.89972,6657719.55759,1990066.83499,5975669.78401
sll1398,33386524.5879,83475907.9824,126886423.044,46804867.6567,44358898.8243,34236363.4992,103507428.38,57590654.8263,70569697.0468,120400967.782,84338976.6696,98158486.6234,25953937.1146,15646003.0374,38556018.6881,52283409.5406,90899900.1119,50104447.5554
sll1418,989883.892414,1294178.39309,7094604.93615,3461997.72631,4182798.19818,4058680.04946,3776047.4313,4729067.01171,3959820.76198,4058744.72857,304098.792377,2546595.22842,2859831.95153,1358302.48926,3280080.04641,3794885.09898,1972822.31343,4217855.12833
sll1423,817813.012238,966404.712209,661520.390849,171163.952885,579422.958603,249180.854601,483760.443672,73071.6225898,966822.831516,420661.140668,1153851.64098,568524.884011,830898.061013,133670.761109,375152.998037,721217.297713,796075.638,775990.236496
sll1425,687833.979069,867047.83226,560674.044968,270776.204886,340120.422666,295459.529342,282407.257923,755754.762245,374155.158401,276941.329439,545790.073081,427787.073846,307145.217621,249658.484705,344066.717967,431231.729038,632933.618492,561479.696796
sll1434,655967.254934,329717.811565,602075.039196,147063.37928,277175.122063,208818.931547,139851.800528,81539.1380876,165722.236186,349880.3278,751196.651805,473587.06569,336725.016337,257798.250855,296097.83059,131704.610331,371243.175997,175817.992166
sll1435,18251246.6698,24173934.7857,21325878.2486,5105199.79203,9556548.48321,6907206.36008,7972187.87761,12689279.612,25019879.5845,11978043.6251,12516094.0538,14419329.8368,15679213.0761,7145257.33726,7200277.26947,18038059.0057,23577344.6064,17463740.4058
sll1440,3111508.15568,1523725.70295,1859209.79591,918279.142569,663776.001825,547154.982767,762264.796687,91161.8525654,576082.868735,313529.422438,470010.7111,668658.185773,487813.495231,398306.587838,425334.887197,235121.671616,1069503.03097,286638.674321
sll1450,1369198.19899,917251.53918,1795748.27287,972592.865754,706368.040674,898691.338201,569931.989257,260035.352785,1342016.04516,718323.506212,1178002.26493,960889.944414,1643825.45233,988299.270155,1132271.67115,973375.335383,2409795.84891,1018093.29268
sll1452,1767200.52497,686166.694593,1045047.3933,2563442.74668,2605719.71654,2873105.44019,1016164.6709,1290763.53199,1093816.55332,2291829.47278,3225041.00122,2196820.34449,6447461.53708,5107206.0771,5202232.15315,1590104.36987,1950635.63519,1331259.20145
sll1453,3420870.68368,2426365.26831,1423874.52855,820875.370773,933524.473131,1466943.10951,462254.170329,138622.507812,704640.262329,2134638.89584,1917823.78996,1652321.84894,158309.897957,3392810.68642,2096312.77662,457093.618272,1661494.61499,383739.031976
sll1463,7954806.6562,16911716.9275,13559524.1923,9286688.08615,8210732.4773,10280071.263,9935455.59277,9997186.35102,11262104.9395,9020355.70776,12000810.2767,10869196.7007,11322370.5728,8066905.54013,8820157.67397,10536259.1764,3189058.83738,10975607.5386
sll1470,338409.009161,502684.776755,230774.178605,683147.490875,677826.379225,694662.572122,275741.930086,245136.810632,97525.6196593,150475.962283,375124.003212,220433.240227,250437.042714,454513.409843,421360.346164,79108.5108507,677897.534704,382151.057342
sll1471,35132663.0466,21579181.0186,19969677.5988,32482346.4565,26026002.4577,40848149.9229,27725620.5446,14144466.8267,36360279.5455,9647480.96314,17458341.0876,18464225.6538,17034133.8556,20661256.9404,16707200.1019,15730864.0081,33105238.3583,28016557.2066
sll1479,3456870.90029,8452522.13431,3566492.20841,1843603.72693,1853733.42629,1980405.00027,2393048.10412,4787797.48932,2403062.73772,2670350.63401,3226060.07267,3131323.82018,1219361.44606,1407541.39818,1293911.05985,1720973.86949,2874506.99012,1657455.71095
sll1481,445781.139483,301567.822172,194761.186446,258408.455983,246458.040556,372071.299672,224492.71833,99533.279122,152605.182074,197421.53322,373484.775169,286848.075247,206550.828698,106109.865832,189071.667587,134652.374989,316378.21679,144471.939035
sll1483,2025357.45289,750705.591751,1282829.73346,1487524.52469,794157.296273,1370513.97658,3103027.47878,1896571.14873,2404670.2998,1284479.00845,758093.805666,960165.241669,521299.938763,2189445.64149,732442.204043,2608330.00156,2218988.58457,2578413.56441
sll1484,2220089.13375,1949753.89171,1345094.51176,976025.794995,956230.677919,1340313.05465,884565.499232,957948.152572,779270.849803,485714.714918,1040341.8324,659645.428927,720672.79689,977841.413318,800558.636704,828804.488641,1466956.16046,875895.228739
sll1491,1754443.69094,1926731.26262,1984608.11903,1176363.49453,1133774.64201,1591218.24905,2172432.32882,1530663.2569,2088949.3741,1962844.36347,1242455.21048,1090447.711,1407109.83574,1213324.79225,964017.765618,1790634.59894,5093151.14143,1756175.05246
sll1498,699185.372452,2230813.14308,108654.083971,2777862.49651,2507012.90248,1442133.5322,1966203.04664,702609.688676,2577599.40882,1771395.37329,2737679.96551,2075888.08281,1033459.24973,1077790.42183,4816532.54417,1903462.5876,906081.470557,1325269.6919
sll1499,4805286.40911,3559633.6523,2713619.34045,2269212.68265,3244226.61155,3919763.79108,2617466.72323,2654833.6044,3998120.81645,2072665.23062,3046973.23622,2329485.08534,5956650.08926,4820864.57717,5264370.04432,4003430.72498,6771823.91799,3115374.615
sll1502,10715289.1844,5573448.72527,6646016.12152,9277232.12373,6946010.04407,14909267.9544,4968992.96382,4429222.58153,6277164.54874,2172218.89915,3421740.65396,3555304.48419,5436056.86508,9046665.73708,7583619.43963,4293024.46045,9432943.62829,4229844.04616
sll1507,2027027.88781,967566.832146,833443.841068,476465.547419,381523.436814,463332.834096,530861.3609,195378.821839,516835.304661,1658660.19109,888783.607373,446373.064994,448070.628454,443230.377997,422386.432057,442221.258849,800824.459368,476867.760361
sll1521,215796.188739,1155374.91547,888440.92682,299783.59334,326932.417009,319056.32575,355327.788487,662226.863687,349564.165999,87135.2314462,699213.61384,417581.250132,334157.262419,308456.10089,290109.751208,358977.63839,718019.301422,426598.079318
sll1525,6059164.87693,4560269.16963,4573725.57878,15180952.6754,14315301.5754,15967925.38,13282700.6259,15095440.4826,13840213.7813,17360904.6597,10668198.0647,11798268.0367,14725419.4558,17126786.2369,15356686.3353,14699411.3005,7893682.85746,16086585.9043
sll1526,2211503.12272,2784016.84403,282995.17368,4456063.64496,3872483.0829,5232160.03957,510994.689573,1998329.61388,2921624.73471,3196832.44329,2359948.36784,1202472.94548,4451078.08481,3878164.06834,3892605.8438,3453848.56924,6281151.71306,3088579.32486
sll1528,2490618.05349,2056291.67558,1815768.46055,1223145.68402,710521.883099,987837.080312,859544.505415,302181.54779,595066.495958,638197.145163,1083888.03125,988818.285465,1164571.47464,1318613.85983,937415.602577,493093.950498,1390293.05311,733394.090469
sll1530,3754473.47226,5847238.32833,3604120.39767,1735755.57508,3348437.60921,4085967.13191,2985349.17683,4614972.96563,2479552.54584,3934250.58075,4781019.22391,4948747.17241,5550340.19069,4325393.58166,5142642.63327,3146293.41502,3112510.92599,3328731.50687
sll1532,750532.142744,268475.692033,153580.241727,197084.696036,172159.706115,192546.660456,359316.114584,265761.357184,358355.808776,70345.986064,241757.901582,500986.57017,105442.622328,164243.152417,146731.771624,312200.350243,375145.268582,202666.34433
sll1533,370736.716459,715474.545088,994397.000014,377668.547785,1867403.13247,767996.368327,53495.2366742,3200897.12093,1681531.88574,1058978.54206,1180874.22839,1271925.34774,2022588.84462,1105549.26143,1639407.12166,2142195.92221,1608392.84466,2496399.71954
sll1536,1774468.44069,3044233.6845,3172242.01222,1348769.3471,394331.921191,421606.358231,1083955.16221,1938096.28986,1232910.01288,1459075.59599,1241125.91315,874603.786569,576403.693611,895884.549599,431276.768541,1143481.77836,1504908.82777,1067801.17791
sll1537,3110232.68769,4140642.30446,2738365.1021,1531263.50946,1619260.80366,2275845.22736,1719084.10865,1799196.52806,2230852.03164,1212807.81879,1866215.82682,2833388.1673,1375733.03059,1439541.20422,1034689.16511,1941230.08287,3422293.66053,1168637.52188
sll1542,322140.538368,1236707.93451,942075.778286,248637.760817,311469.292608,141179.264114,636243.043113,976465.932359,115369.817377,201609.050544,383216.414389,287495.474737,553421.92843,436840.079936,614568.866389,685208.95841,1236625.04939,672550.905715
sll1545,2615923.92996,371497.557323,518478.404865,1359184.61574,368726.164086,1364687.80973,1189587.58174,915294.269897,1492966.47697,234865.265261,652860.075838,405254.197207,1416981.1013,1488740.18561,1544201.44871,1429243.34417,581846.499679,1401135.84031
sll1553,1826257.09083,3694298.06117,2913341.77579,1169434.54427,2946391.27981,2788533.38665,938180.244669,1797849.117,1886218.10544,3142435.54072,4531241.24379,3756385.46554,4407083.26402,3211252.70167,3224048.93621,2144719.20377,1420298.79497,2222371.23213
sll1558,3421505.26836,1117535.37822,1068042.14868,2474438.73882,1781613.09152,2568139.28496,2126806.42222,828017.469364,2093323.46781,897158.352869,716429.232591,894593.705754,2546807.78496,1902924.96359,1672100.87363,1624111.29759,965093.90859,1481101.79515
sll1559,961581.084312,745196.582171,3582936.99508,9526828.48031,11226447.8592,10863087.6661,11086763.1178,20547679.1115,9284783.71758,29042727.6968,24929868.9041,27596165.2377,10436735.9349,11668517.1652,13479686.361,14100366.7126,18842535.3287,13028468.6569
sll1561,2601769.37635,3419687.50159,2210819.47933,1338257.91872,1249078.50513,1588360.70759,1001963.07279,931464.13408,820934.982126,1309143.31968,1783202.10664,1699400.8234,1103318.47894,1215439.42477,2019308.37072,1137441.06107,1043643.71082,1477195.04233
sll1577,12219982.7452,6172243.38254,4239324.9043,325116.83486,371847.732166,481049.661773,241915.657817,21586490.9569,513084.770998,17902974.3493,27174319.8542,16281463.7947,63764348.1592,177914.560314,10455750.8827,933814.332526,308393.054672,392508.181859
sll1578,6009266.41374,131205216.47,104427220.62,8078258.77175,225194564.954,3028606.82887,202880516.651,427524130.573,241740445.456,165043446.983,12256854.5684,209642765.573,1961399.88612,6577866.2352,1678082.9753,276375610.729,22059927.0306,257953395.891
sll1579,126031282.874,108965531.213,84552224.0295,75384256.9679,99845600.5568,128111371.994,137355208.564,34748239.6351,31156276.308,30742111.7004,117369538.18,37566266.7065,36033622.4633,25034455.0364,48289292.8844,128027420.74,167329871.581,125195743.459
sll1580,21225435.4157,41737746.1059,8361287.15844,170473449.792,150210210.85,47262948.8148,118874090.304,120843615.51,186930558.005,32635422.1048,46664760.812,92145121.9589,49847635.8663,100573791.898,141350820.63,53078809.3696,339612333.136,220889018.307
sll1583,6552151.84217,4281729.8541,3174199.81546,4796661.71925,4072678.51492,6821525.40223,2979771.44194,3080304.68264,4454178.72727,1129105.59438,1138227.32669,543873.926617,4090567.25891,5330524.79683,2902334.74658,2680848.07697,4775318.40866,3566464.4356
sll1584,389430.046086,217631.991838,746123.614835,118645.90611,664795.1362,426653.189531,133169.257647,457430.159774,234201.095109,108280.182719,564298.754098,310827.837342,466488.575956,399537.708154,370476.469499,525046.580347,315942.788013,151518.775379
sll1594,175356.498726,386796.132826,397762.870959,459764.715416,349557.203899,516040.617116,389316.655683,291888.849084,450089.320323,211664.193777,134237.691095,410257.744755,775513.423331,552782.799117,470802.613641,561163.083775,2845272.31721,272859.326582
sll1625,3343659.73546,4006695.10977,4209864.51789,1074653.57171,2560268.54705,2724762.43666,2628188.19882,2559081.03931,2849723.83657,1511114.5072,3581377.57491,2608070.6414,3370062.47838,2842453.97041,2188577.54836,1852485.34529,7738827.05344,2872336.18764
sll1626,71068015.9124,49717941.5547,41843438.4081,37987104.9911,26665602.7915,35855042.7156,31918754.5459,20213651.2644,26137506.5423,26175295.5252,29582381.4981,25674575.1634,30519891.5943,31544391.0737,23210797.4726,32156923.3837,62669957.9079,29366818.0754
sll1633,227627.97343,900534.573664,392098.053283,618117.227286,871448.145764,556259.635144,573680.614475,1572183.22641,532887.174712,1538478.22455,409565.205939,199024.517573,640903.366868,900954.696999,1124673.68,595039.801639,289229.202849,598173.756345
sll1638,4750709.72551,2575586.9709,2089109.20983,6454552.80213,3237815.38017,7124906.17797,9919254.41466,4844689.32385,8815527.98857,1116078.70053,2261248.87214,1273679.2805,3391353.16668,3769668.23915,3755270.92083,6256095.9697,785714.877598,6752559.03436
sll1641,4315235.19419,3078254.38372,2348960.94468,179763.323189,304963.40323,13748.7191416,227152.636339,903764.820641,1986306.07085,783026.233868,1075189.84696,856366.651888,1348810.87923,1191680.22484,842772.899062,1278527.78996,1670940.62815,1406004.24795
sll1654,5160865.90323,9474839.9138,8345145.55563,7337892.77046,6170430.43177,8559533.68443,8341521.52661,1727697.72526,8030533.64067,8340232.4155,5977839.60516,7073318.16192,6332062.5319,6021216.62935,5908287.26666,7661224.34105,6854963.8005,8339344.4918
